826 2562
454 745 138
114 560 66
385 807 917
16 652 368
813 396 668
319 570 36
671 769 124
822 565 3
531 526 652
137 158 402
530 353 786
46 54 272
688 215 756
463 459 511
195 505 802
784 771 403
48 455 244
456 809 190
60 709 694
600 356 517
527 658 82
116 80 641
332 591 987
412 31 818
444 670 774
204 332 316
221 780 675
800 585 568
616 215 661
328 787 933
729 233 764
186 364 425
402 311 272
649 107 856
626 249 992
130 99 113
577 372 362
738 772 258
284 442 741
124 687 293
425 522 732
83 101 259
722 88 163
503 251 936
542 74 942
663 32 186
381 336 26
259 303 148
424 776 356
172 527 646
16 549 257
394 645 459
336 553 535
96 566 369
785 439 625
590 405 777
754 242 380
679 146 673
51 2 968
61 709 89
327 335 861
313 816 305
407 49 179
309 804 797
203 265 468
585 666 948
518 638 464
372 303 716
682 787 930
251 322 766
328 4 337
158 159 629
18 21 287
306 533 507
613 632 64
592 526 477
708 75 513
16 624 970
336 722 402
799 283 781
408 606 776
721 570 982
76 426 685
229 423 196
253 598 447
617 499 458
17 548 658
218 399 107
808 613 174
747 699 969
633 470 139
662 292 704
256 155 640
71 437 112
786 347 142
804 13 279
573 741 884
795 256 732
80 417 58
451 633 574
372 580 896
5 511 9
313 345 165
450 454 134
541 177 361
135 725 571
182 335 131
289 449 267
327 308 221
219 813 409
78 655 563
574 201 545
826 206 583
407 787 243
409 181 777
663 676 865
69 790 586
88 675 227
66 156 663
70 173 610
646 784 718
683 292 866
754 237 653
236 202 439
478 761 765
802 444 308
764 258 876
335 310 948
446 753 133
586 562 477
700 52 578
784 605 229
746 147 507
96 582 489
376 745 154
696 399 982
218 670 793
354 230 563
768 285 109
43 95 468
221 292 629
360 529 95
92 663 724
713 714 417
474 147 694
525 84 543
200 422 662
795 125 411
395 118 206
507 330 981
84 287 560
103 259 165
297 420 153
399 362 997
310 55 908
29 37 732
69 159 15
561 470 947
558 530 884
563 490 515
561 563 88
651 758 247
260 629 496
268 480 453
697 320 340
511 708 468
599 818 709
515 720 521
524 279 989
648 442 327
413 201 953
140 454 865
703 320 18
816 512 835
141 461 484
821 372 712
476 233 632
723 127 70
221 465 682
136 562 420
360 55 233
384 704 453
308 162 642
629 281 771
308 650 728
481 154 19
651 76 998
158 501 879
748 421 952
85 286 591
158 344 972
363 2 134
467 245 882
628 737 579
514 49 480
668 484 587
645 409 814
166 813 172
638 576 416
89 193 713
693 654 279
659 717 669
528 388 777
316 627 766
297 512 517
338 517 223
40 395 230
772 621 587
383 749 623
728 359 553
805 606 132
95 108 547
143 468 230
443 295 128
194 324 525
183 499 326
229 100 311
387 597 994
358 468 631
408 576 631
44 188 918
314 624 98
492 794 266
511 476 116
453 671 948
373 292 95
550 595 989
80 278 439
538 563 252
246 7 250
67 531 570
163 608 208
235 172 323
38 103 193
458 328 740
414 132 914
823 79 816
65 745 315
173 81 873
571 324 798
633 197 842
281 516 621
432 639 482
515 569 292
204 32 525
163 121 63
240 779 361
730 549 752
369 807 52
726 738 265
546 60 173
689 573 861
456 352 428
796 71 855
677 175 838
338 547 210
390 231 596
598 368 742
513 810 374
524 785 97
338 380 508
561 313 689
444 653 807
224 596 933
737 194 715
572 117 642
305 215 943
405 349 386
478 86 141
97 680 109
696 192 930
688 52 297
602 280 324
576 544 793
599 547 760
510 144 627
666 693 116
389 513 44
239 470 268
621 684 397
745 710 27
805 744 688
724 167 926
355 455 668
251 246 660
369 668 137
309 548 795
693 261 482
709 673 701
750 531 678
8 701 219
191 519 944
147 63 704
465 165 41
20 652 589
645 687 71
13 199 52
531 250 479
820 403 612
681 294 820
115 447 874
223 281 504
350 698 774
804 177 738
664 476 742
630 229 23
331 261 871
413 187 95
708 375 152
336 736 904
456 167 553
631 776 430
478 667 455
132 545 150
278 435 498
68 345 495
603 317 731
275 49 409
759 300 885
23 214 872
296 814 426
314 708 145
674 487 514
364 314 324
799 43 315
273 107 143
295 674 906
761 259 514
520 635 840
537 451 613
67 364 715
262 573 696
166 519 176
395 121 613
807 215 225
42 793 835
53 406 683
800 735 4
354 679 646
633 200 431
760 407 46
45 403 256
569 100 415
602 608 706
105 676 602
520 594 603
666 289 503
395 554 746
40 440 50
8 543 960
477 528 322
115 606 760
365 308 318
723 538 824
22 671 260
254 103 131
191 777 88
147 691 192
239 67 960
263 678 536
227 291 950
90 470 538
616 612 368
215 733 798
292 814 817
460 97 689
351 244 891
401 70 399
395 324 374
72 554 504
221 373 33
66 7 981
744 495 490
349 304 462
710 815 334
807 338 732
350 770 326
566 210 907
555 681 878
292 743 660
187 474 912
127 166 428
720 16 843
515 347 842
246 533 225
186 409 872
6 73 37
254 571 878
670 754 985
611 698 62
757 722 599
298 622 639
654 478 704
578 540 209
380 355 701
822 317 302
746 626 318
164 563 242
769 782 861
565 449 354
439 512 754
251 98 731
784 529 119
428 289 548
549 657 33
467 321 785
273 312 958
563 460 333
524 86 625
745 347 641
774 404 624
630 382 711
133 183 125
545 30 19
443 753 297
87 469 404
398 807 158
653 691 614
53 583 740
395 602 2
216 246 706
456 678 53
360 678 105
486 381 452
591 803 59
413 129 764
225 131 936
427 257 78
268 661 463
498 74 770
742 639 265
712 717 341
170 365 283
659 799 638
190 251 797
187 454 444
66 30 175
224 594 951
434 474 991
86 96 995
510 245 397
218 795 179
823 86 152
558 420 348
92 15 518
220 212 11
598 285 28
312 28 826
298 347 650
750 524 48
54 792 595
120 770 52
560 345 49
593 807 519
746 6 262
762 233 4
110 274 580
636 719 338
319 799 599
758 238 263
645 794 19
92 425 278
671 18 580
445 711 912
158 355 318
186 787 263
441 117 259
94 47 762
244 795 821
419 122 872
302 166 93
628 813 4
550 18 790
726 412 797
487 639 51
378 296 237
92 786 261
793 114 713
684 668 686
293 252 647
194 327 570
168 784 456
393 496 702
725 133 536
454 154 764
624 772 147
187 407 569
759 598 336
715 697 39
310 728 146
510 264 831
420 666 399
226 754 66
51 463 673
322 258 154
302 141 70
393 750 721
782 610 516
337 698 82
518 527 140
194 99 444
514 19 418
28 197 18
394 782 70
205 712 585
755 692 637
112 177 230
778 210 294
485 218 703
796 714 99
662 498 143
690 365 317
44 322 603
663 768 598
547 230 806
582 531 559
647 36 237
544 54 583
172 311 593
642 371 526
579 574 142
316 218 578
204 118 321
468 145 484
457 579 251
743 53 708
609 215 484
243 78 28
26 281 980
41 354 403
425 361 731
798 189 969
197 165 911
635 319 463
56 312 814
639 72 391
162 29 718
562 313 551
530 533 313
371 129 308
240 238 242
634 455 862
791 594 659
159 115 215
503 650 49
464 359 336
793 215 306
198 160 282
704 125 416
215 13 756
761 522 42
352 552 293
513 699 507
814 397 738
165 217 219
178 310 938
203 796 470
755 635 407
668 583 15
435 108 262
181 475 794
738 314 245
369 12 587
724 347 390
504 335 27
129 491 494
469 409 107
186 168 566
781 466 30
778 146 515
322 314 764
438 782 646
794 64 963
353 710 177
103 582 113
497 238 270
57 800 933
540 544 647
200 586 869
353 365 790
198 244 725
66 225 353
326 522 539
146 789 858
35 522 207
606 817 482
413 706 314
650 810 790
715 18 689
670 42 151
356 540 880
553 586 637
519 291 590
96 742 876
352 204 571
413 379 252
144 712 713
177 453 287
721 148 642
31 686 651
50 645 820
450 448 775
722 778 519
172 625 793
219 627 985
465 575 557
222 624 164
361 257 482
480 433 119
724 514 519
581 594 564
721 360 876
221 756 374
282 533 657
678 112 723
361 282 134
39 55 895
90 447 778
581 547 736
246 627 311
765 336 888
180 753 86
294 781 239
404 580 568
567 122 648
68 278 178
548 684 937
445 90 764
346 706 860
500 675 125
214 439 541
620 468 351
645 711 684
116 763 889
267 41 442
555 149 61
419 532 544
475 326 811
800 270 602
107 47 653
322 401 344
737 288 794
676 415 557
776 614 601
821 181 178
724 640 885
259 399 25
624 670 946
589 382 815
241 584 84
26 791 48
306 770 902
163 490 317
77 589 4
586 241 69
167 155 383
429 735 878
92 808 348
596 693 966
4 424 159
521 790 215
825 590 536
84 559 545
741 32 454
327 375 366
603 146 164
606 292 249
655 531 943
84 809 68
573 371 607
130 623 873
246 706 735
335 359 46
36 552 285
756 548 948
353 174 317
213 820 354
32 705 228
5 186 580
184 300 948
141 761 51
361 810 861
121 770 850
389 822 322
488 819 949
770 431 572
350 351 383
187 361 501
610 387 426
783 29 880
637 26 705
671 680 223
567 269 133
127 520 308
640 719 249
268 481 561
96 228 988
615 70 259
113 742 761
349 613 32
271 605 472
719 477 700
789 546 198
744 564 249
152 674 745
311 565 577
497 555 302
13 89 649
819 825 254
132 709 839
734 765 875
143 504 192
120 490 282
126 744 694
4 715 419
282 168 10
223 22 887
15 632 430
25 766 380
568 482 854
152 680 987
557 264 325
826 534 5
459 208 720
382 764 450
377 821 545
149 70 157
458 817 822
650 283 523
676 163 364
660 784 908
112 460 965
218 211 246
448 784 160
181 799 86
99 541 275
795 268 239
116 675 33
567 640 288
507 807 940
242 801 870
291 130 135
475 609 176
142 531 565
132 187 189
535 419 999
543 401 34
721 263 349
326 623 660
255 567 629
546 206 838
112 206 793
603 492 871
723 430 884
657 500 838
115 585 122
404 323 430
181 402 720
273 125 508
133 42 243
11 187 679
76 673 780
186 588 142
197 444 148
633 442 551
766 679 930
475 62 292
542 152 288
109 168 665
814 420 707
546 539 809
174 117 474
459 608 667
708 555 790
258 472 355
39 575 549
494 133 936
775 659 327
582 741 870
173 763 524
600 448 475
242 750 942
135 285 507
793 205 26
268 318 317
254 393 665
328 811 923
300 131 486
204 489 257
521 577 285
41 16 769
272 248 69
356 532 141
651 526 278
209 231 817
447 449 357
255 17 830
709 635 850
533 139 716
804 823 353
603 787 689
556 442 279
219 13 803
662 217 919
386 759 619
475 542 57
432 796 485
789 685 787
574 296 387
422 347 466
729 542 309
253 144 630
44 179 964
336 500 490
553 283 703
103 106 601
114 336 396
431 156 617
424 234 558
290 788 595
293 186 362
725 735 522
578 49 380
479 215 758
801 483 313
283 607 285
767 773 132
558 549 628
504 93 235
354 196 527
353 740 570
516 351 493
407 319 661
198 724 188
610 73 350
826 297 455
72 762 455
221 122 872
442 703 895
698 489 258
271 489 698
191 438 240
639 547 279
38 176 649
246 60 720
355 812 800
712 813 423
270 190 230
30 424 955
201 598 510
508 90 696
351 160 131
670 126 65
754 31 664
305 337 623
103 274 969
320 812 28
373 237 964
110 767 921
789 165 595
816 658 76
186 92 421
84 522 126
328 49 143
284 87 220
377 4 653
813 814 919
685 778 289
732 262 342
509 68 568
168 588 41
425 343 269
465 188 109
462 147 42
166 664 816
172 556 473
476 110 250
394 415 74
594 413 21
237 284 263
670 674 366
821 421 473
378 770 552
391 254 384
784 276 684
210 162 837
568 551 66
122 6 741
4 96 666
681 585 860
295 303 226
764 712 187
438 584 675
403 552 568
146 820 965
409 28 93
435 135 850
296 238 339
60 715 313
90 609 624
460 288 127
105 161 710
732 427 744
518 630 358
672 692 648
163 501 386
592 736 644
470 343 648
664 491 200
599 276 112
720 298 201
400 394 227
476 657 732
21 579 757
88 819 97
719 185 529
697 113 816
512 751 713
698 23 516
143 809 967
583 93 668
70 811 897
472 105 896
512 417 328
108 357 886
818 103 677
184 791 682
104 767 450
599 764 522
197 128 839
426 468 535
519 18 399
161 700 181
431 37 313
28 220 392
752 99 480
181 148 681
1 675 181
454 279 741
347 368 608
526 125 632
112 379 639
681 455 297
735 266 975
44 581 336
312 800 288
287 167 679
528 438 160
646 138 570
401 146 200
733 287 920
729 90 852
466 431 492
656 563 825
76 174 496
518 553 185
42 789 384
350 792 654
207 153 804
493 717 409
175 552 840
607 250 725
107 102 112
406 422 24
242 658 525
703 189 538
776 2 58
789 795 249
38 53 542
793 708 65
98 25 712
714 54 261
814 440 936
388 91 70
331 559 629
656 560 466
674 600 86
652 376 429
157 683 776
519 284 965
214 634 591
669 685 312
516 204 369
361 229 549
649 213 49
449 13 334
21 78 907
595 407 260
139 319 410
622 361 110
144 412 35
789 184 48
78 162 583
502 173 384
598 558 937
59 478 61
301 780 757
301 192 285
257 822 291
699 537 395
488 643 818
75 392 342
380 793 292
314 814 146
388 772 245
2 222 532
471 375 825
606 190 833
296 32 142
161 140 841
705 759 262
771 634 484
31 497 448
410 225 121
207 253 193
331 816 69
10 383 902
72 66 488
358 145 843
100 251 701
643 786 644
338 49 350
580 774 794
588 119 211
73 546 192
589 435 940
639 236 614
670 162 483
131 241 284
656 67 132
25 542 788
813 680 457
149 412 727
770 368 591
385 376 737
438 498 431
818 77 93
217 560 282
757 61 208
423 676 789
451 479 836
561 657 263
534 403 929
802 699 96
476 139 813
42 98 625
560 269 228
428 549 447
409 173 417
370 240 846
689 698 209
475 507 828
168 315 142
148 417 223
225 453 401
108 730 70
610 801 275
771 198 353
479 483 599
90 189 608
692 224 413
811 432 356
710 13 556
818 637 170
665 209 508
537 369 312
589 818 108
203 656 924
673 108 115
168 50 236
221 732 841
278 452 388
424 258 991
255 362 891
227 806 259
786 756 282
94 220 748
632 45 682
525 594 497
349 48 298
758 45 109
777 225 150
331 28 49
276 393 918
825 611 256
58 697 136
790 767 912
563 96 28
265 100 869
610 241 116
517 754 190
722 276 991
315 770 945
274 87 814
22 696 954
708 424 226
168 134 480
105 792 923
656 682 555
455 545 819
24 277 706
729 814 609
294 132 979
785 440 707
339 700 410
445 129 38
103 385 229
404 5 917
494 362 587
227 705 222
237 299 485
218 107 383
573 152 567
343 258 86
763 794 541
52 224 388
729 311 676
20 650 526
706 462 558
631 453 156
112 383 584
85 218 506
323 675 193
678 726 844
36 224 262
107 44 920
163 230 94
540 133 37
734 126 23
222 56 858
681 204 223
816 251 991
92 557 683
394 6 920
574 350 478
773 826 61
456 549 651
389 234 234
193 426 46
825 823 18
563 223 598
682 660 230
182 745 385
200 508 634
711 187 35
36 702 132
176 402 557
519 272 599
811 775 370
392 95 61
559 751 874
86 59 566
754 125 223
337 668 466
285 50 417
666 41 354
434 598 772
336 487 260
382 487 236
11 774 880
217 649 492
584 573 806
562 782 46
149 67 837
730 102 852
54 406 397
468 700 940
70 76 283
60 21 605
602 32 537
157 476 385
184 298 721
66 90 604
123 570 336
246 335 244
628 226 838
5 731 273
25 104 622
256 808 964
70 296 241
387 689 552
795 646 184
214 788 800
150 478 679
662 496 786
245 560 431
549 825 460
808 414 523
599 581 405
412 25 945
379 101 866
282 584 917
312 121 631
298 494 433
133 160 11
604 36 608
339 229 111
819 206 209
517 606 58
568 520 905
429 256 859
226 53 176
70 266 608
52 499 194
375 716 354
728 139 730
554 224 619
368 330 528
90 722 443
3 293 556
524 374 927
812 339 540
291 509 988
679 424 506
493 338 991
154 780 995
696 80 375
698 41 26
210 255 519
541 246 756
710 381 142
433 137 590
614 579 687
382 1 974
57 25 129
687 277 575
211 17 782
810 559 993
105 321 993
529 228 320
14 471 439
691 370 442
483 485 314
793 761 622
16 263 276
214 695 413
625 622 434
403 57 759
187 244 791
719 636 961
99 670 994
760 686 635
580 498 858
744 717 970
388 398 289
502 66 773
407 297 314
491 158 296
736 408 748
790 481 87
174 58 718
263 625 123
731 17 59
792 198 493
448 636 296
447 12 344
88 59 390
296 498 171
231 36 313
323 84 489
137 253 783
159 536 299
135 390 566
404 449 172
682 663 685
267 626 792
177 332 831
738 568 506
291 338 46
63 232 456
347 285 760
582 511 899
393 612 968
634 435 23
117 294 282
230 137 643
234 661 233
102 223 224
140 602 37
490 446 499
140 78 200
700 463 998
351 577 361
105 204 225
359 623 71
345 427 834
762 604 55
154 43 9
785 174 190
515 323 407
394 402 827
545 387 545
207 376 737
196 770 289
176 91 224
267 600 218
307 638 662
326 513 401
82 223 946
613 31 5
4 84 672
251 237 813
767 525 88
235 283 202
25 488 960
109 766 807
382 613 135
147 84 636
132 728 326
560 732 180
344 423 826
576 636 721
20 531 826
627 107 993
702 437 272
819 622 85
808 170 747
302 129 578
290 746 763
817 527 789
519 86 951
4 312 864
679 293 496
44 291 907
84 457 822
273 656 821
458 781 15
201 634 200
119 755 170
350 5 394
240 769 441
387 114 282
38 443 559
817 29 657
547 295 887
430 644 372
655 399 246
299 512 568
144 648 598
223 340 758
237 206 328
181 658 745
805 474 519
710 456 118
292 598 365
707 116 300
678 674 738
68 191 550
336 385 786
409 368 113
789 220 935
591 432 694
710 180 829
425 17 70
14 765 242
113 550 109
15 117 514
83 380 167
454 259 681
734 242 817
729 365 733
166 206 852
485 329 156
767 240 186
588 98 473
1 449 288
475 263 557
524 283 259
40 463 166
733 265 6
425 96 560
586 524 931
717 473 147
137 32 297
581 790 322
198 613 734
669 149 823
247 409 64
603 414 354
357 730 455
527 820 922
390 286 754
649 591 19
795 609 412
460 311 131
751 458 729
238 464 578
246 131 450
637 416 186
206 175 982
483 9 870
541 390 224
308 108 330
613 33 148
596 278 841
371 751 642
275 398 80
88 757 272
404 391 491
721 228 464
96 408 170
254 595 810
137 562 705
734 152 463
657 579 263
163 189 471
749 595 977
25 10 633
162 199 876
384 769 360
521 816 794
586 715 577
692 566 86
17 493 352
337 248 368
656 816 391
566 259 391
431 228 878
654 507 221
510 439 645
607 650 561
313 620 12
515 794 432
569 685 819
472 375 122
50 737 605
206 516 94
258 536 28
161 172 657
404 531 312
507 537 330
52 778 657
546 519 450
626 422 943
479 795 162
344 186 159
667 747 53
537 161 536
206 33 933
480 86 867
58 170 497
194 414 345
321 623 451
164 642 546
413 745 619
528 229 912
678 417 316
646 631 204
798 70 39
295 162 46
537 349 922
521 807 429
109 270 531
768 474 750
275 205 143
170 132 74
678 813 228
103 318 588
128 495 405
98 356 431
148 33 497
745 234 944
664 89 366
517 309 485
727 378 952
282 501 702
711 390 539
640 43 191
660 656 46
390 744 929
69 598 935
469 679 375
130 800 978
606 550 161
627 448 188
57 169 688
797 299 617
50 217 416
391 24 486
368 284 696
257 347 558
412 44 759
347 673 625
142 175 293
318 187 45
645 57 158
136 298 307
100 453 177
13 52 506
159 364 428
140 420 252
756 534 307
469 392 692
783 521 945
65 150 799
61 283 349
794 133 148
466 303 2
792 196 436
208 818 427
115 376 338
519 225 579
522 24 415
385 144 180
127 609 139
281 355 290
254 583 383
162 497 924
119 622 380
808 637 761
723 203 901
526 593 956
551 479 343
814 659 715
87 84 778
203 77 900
9 277 889
647 510 643
96 662 160
293 549 466
203 496 823
695 548 140
571 147 723
127 238 290
311 614 842
110 474 366
468 157 456
13 25 6
509 534 9
583 820 510
179 462 131
647 599 210
802 236 291
359 385 323
625 248 973
273 92 982
63 796 150
250 25 740
75 92 757
806 399 281
22 513 989
591 588 212
30 606 673
181 400 569
44 537 610
414 544 630
330 267 454
817 61 404
61 92 301
136 163 278
343 606 960
127 183 676
389 695 67
37 772 129
734 321 247
577 373 956
366 189 465
485 656 722
437 105 422
820 777 942
792 215 792
74 23 689
163 693 860
614 274 361
734 661 227
202 92 90
93 81 965
137 44 893
330 59 363
667 588 392
737 354 902
216 274 985
199 694 814
545 432 993
636 707 775
808 372 724
711 739 536
590 117 778
45 269 894
143 480 518
427 411 696
502 383 115
257 810 542
546 618 214
358 137 196
579 378 71
805 251 503
86 241 848
202 784 963
168 758 426
579 813 6
655 167 437
154 228 973
354 826 603
336 449 853
490 252 141
210 615 708
471 531 878
638 135 443
4 744 843
22 245 682
432 346 293
233 521 802
384 662 637
86 259 397
437 533 606
713 20 512
789 87 964
635 383 140
2 487 892
154 733 352
255 773 382
788 519 362
441 184 506
586 435 650
244 766 101
501 154 872
453 348 488
441 65 326
802 379 170
457 592 463
338 166 499
172 148 700
706 815 326
162 730 71
238 710 860
87 683 929
80 456 605
496 458 518
561 397 233
105 234 638
306 454 355
45 275 768
789 755 761
331 691 633
16 550 217
17 210 196
605 571 442
606 452 475
105 356 723
59 400 427
143 125 861
640 61 76
178 234 284
644 230 972
469 464 884
212 87 167
587 765 521
224 156 297
36 625 556
5 44 689
701 302 580
308 267 231
270 405 449
172 641 665
182 150 519
57 234 290
137 777 504
235 242 370
180 569 648
489 410 234
403 172 981
602 163 704
145 136 551
634 573 694
25 68 229
568 396 273
434 47 705
231 540 168
514 585 98
786 352 198
753 757 621
607 17 895
436 348 932
25 707 981
658 751 534
190 580 520
814 244 439
161 165 906
90 810 328
276 175 189
536 31 830
62 470 588
330 824 619
625 781 808
215 427 71
291 260 813
8 94 29
186 264 522
748 96 119
345 520 809
655 243 964
104 535 688
579 652 754
30 511 806
466 97 401
134 172 64
350 359 632
802 555 327
300 94 848
327 597 719
248 146 276
152 343 462
689 816 453
76 139 166
654 16 772
448 339 960
563 409 745
487 396 552
199 8 112
449 399 312
391 534 515
378 804 342
395 332 382
30 563 38
379 412 219
521 389 158
648 420 4
42 397 783
83 431 993
98 176 880
463 118 310
179 4 824
386 295 770
159 412 135
609 331 57
561 293 832
522 313 37
561 355 110
603 256 36
508 47 586
421 539 957
789 541 756
660 23 379
262 764 517
386 193 555
691 576 641
688 664 71
173 590 18
449 496 932
536 70 880
269 534 896
268 58 999
624 756 814
480 177 548
466 116 637
558 92 575
533 128 908
207 357 568
161 338 608
323 650 62
129 785 107
341 560 981
764 238 775
210 555 566
716 124 677
347 591 213
366 696 798
14 187 500
175 391 94
253 150 245
429 540 396
476 358 76
291 418 814
291 2 897
557 447 743
777 353 709
797 322 661
795 301 19
457 195 392
190 465 102
498 358 237
77 687 830
442 349 94
747 611 834
603 415 53
84 379 944
397 236 759
151 155 6
4 746 215
482 2 10
461 512 646
172 53 78
801 755 810
697 527 732
732 473 65
253 145 342
87 375 244
273 635 461
729 166 106
48 391 717
802 818 765
117 258 57
706 145 647
692 19 6
436 99 147
674 793 236
583 806 107
109 126 287
231 123 638
345 179 796
643 563 174
152 3 265
189 122 931
26 171 434
329 761 804
355 444 805
360 593 215
528 84 516
295 135 192
678 94 837
258 701 847
190 372 590
630 60 695
277 310 282
532 718 462
497 381 475
86 585 176
142 351 661
1 209 724
742 241 175
506 793 52
494 116 820
58 551 160
641 344 793
642 403 158
34 312 12
238 671 171
787 232 843
344 359 791
368 488 171
118 600 74
655 382 301
85 474 882
617 421 232
549 803 465
233 28 343
155 652 84
135 242 717
223 607 56
299 553 663
646 80 205
312 518 332
606 143 228
574 209 383
255 340 354
606 549 463
655 189 304
709 768 457
129 34 549
616 552 428
447 807 216
673 195 920
190 370 579
521 298 761
710 619 936
579 390 473
599 527 775
732 255 655
803 644 685
804 184 48
144 365 11
458 409 278
513 660 581
773 36 699
300 435 558
347 130 253
324 579 944
415 126 338
752 151 563
564 682 848
73 316 958
311 729 360
109 708 140
364 826 584
149 197 581
225 537 824
409 482 878
95 8 352
303 56 207
757 174 835
515 178 507
212 465 344
150 785 363
753 54 250
570 530 830
582 666 799
348 372 815
527 437 352
657 506 946
587 343 372
257 424 417
318 760 595
108 432 933
421 92 515
285 332 470
309 817 208
569 23 352
127 473 33
463 140 425
316 473 918
708 685 225
502 376 150
730 29 164
522 658 217
362 738 514
603 347 156
478 285 315
771 576 601
299 167 682
231 656 358
686 180 692
824 499 52
815 197 426
574 498 733
461 140 551
642 179 793
702 386 336
592 378 23
213 379 54
699 80 579
528 264 527
115 29 940
288 767 211
659 510 685
457 700 62
410 273 445
460 44 209
203 293 535
