881 830
629 213 459
770 113 847
107 632 -824
419 766 -879
158 862 -137
307 854 -110
719 357 269
643 791 -633
413 623 671
62 163 -745
401 579 174
50 78 -786
832 190 -51
776 22 -566
538 27 -507
375 189 543
686 560 989
294 152 546
821 520 -172
554 157 636
591 469 52
767 805 -666
483 773 -557
210 685 988
764 299 -337
273 496 -352
446 708 660
357 765 125
511 810 530
655 429 408
859 230 99
284 450 -23
578 328 608
234 603 382
471 240 -523
750 139 -986
186 256 93
387 286 -191
121 373 -820
753 332 587
109 694 796
20 751 871
99 776 -920
478 281 102
468 422 -574
405 479 371
328 602 -814
798 835 -359
459 758 -831
821 639 185
103 357 978
418 650 467
400 279 630
70 154 -801
4 806 -269
650 714 -410
807 788 655
338 520 288
355 758 -507
738 620 987
283 166 -737
106 613 -195
786 646 -920
219 382 -69
842 560 -288
857 253 -95
357 498 285
58 548 651
851 403 -1000
88 635 263
17 120 -42
136 176 -442
795 89 383
780 630 -41
173 811 998
88 695 -857
476 431 -402
75 647 176
439 55 701
316 192 600
43 633 510
648 792 65
840 803 180
295 878 -561
579 578 -127
264 345 -206
467 218 650
105 8 -636
631 804 -348
132 721 -441
151 198 -112
107 510 -745
256 628 755
766 454 734
743 274 85
527 366 -579
602 661 -407
91 236 279
843 604 930
545 40 745
191 110 -35
169 299 563
390 198 883
744 592 104
598 796 112
42 751 36
234 116 519
592 439 869
458 201 291
504 529 -581
274 640 639
696 871 -330
78 267 -150
843 205 571
514 236 -738
443 217 -211
510 535 115
192 863 88
727 219 -535
573 843 432
709 26 358
359 134 620
146 556 194
275 74 -660
777 54 496
127 553 336
532 879 -88
497 500 969
745 17 31
42 43 888
230 310 711
163 698 489
560 767 -818
760 699 485
7 229 986
161 330 -78
832 496 350
131 79 275
424 462 97
300 745 669
104 337 184
421 181 -825
745 815 336
232 796 -149
485 549 -632
688 7 -818
362 180 534
519 271 -145
861 198 -98
11 560 -13
470 621 772
680 233 260
541 121 599
58 794 212
720 819 663
235 401 524
695 631 955
835 147 715
520 604 155
163 731 654
298 765 -954
848 108 690
241 296 -253
344 41 864
785 440 -954
766 311 -865
390 490 -159
276 515 954
751 342 -287
491 2 117
558 869 -992
605 193 638
458 796 883
789 386 579
666 174 -366
751 472 -413
791 591 -88
102 241 132
348 795 -877
457 337 491
442 336 794
570 573 -484
631 677 227
7 289 879
134 173 -803
697 83 429
224 875 -805
284 66 637
638 373 -681
577 218 1000
552 772 417
366 470 -580
422 791 -446
18 395 926
813 789 -497
193 765 -390
126 28 -186
11 849 336
618 569 724
454 760 -305
158 46 -525
744 283 981
634 865 -765
250 550 -83
571 20 -420
245 158 -681
290 194 895
188 158 -453
306 88 770
643 157 392
813 224 480
105 288 540
663 603 -890
200 860 202
235 260 44
399 848 499
166 408 -702
419 680 -286
738 272 322
366 624 487
588 737 17
595 505 -496
563 301 -151
367 695 884
635 829 618
104 274 290
351 820 559
637 382 -960
260 609 991
477 537 -873
706 518 978
837 15 731
835 77 -479
787 684 -717
107 543 -355
130 648 705
580 238 748
140 402 -892
167 568 -327
321 561 -329
59 311 -744
281 116 -103
503 355 893
800 754 -985
781 631 -590
1 245 -367
261 770 -574
261 757 673
380 271 -537
785 570 842
110 393 203
224 473 781
36 259 861
701 672 -873
363 180 316
305 289 163
95 665 -113
605 270 347
448 287 -737
167 52 475
454 249 -600
161 790 -195
321 839 86
611 523 -288
426 566 -31
427 458 990
204 339 621
3 610 -770
285 556 -877
839 870 613
377 368 -134
268 120 664
330 654 574
312 575 254
55 709 -912
168 479 715
854 392 750
58 374 -288
849 742 186
430 293 621
714 315 494
126 159 -666
171 271 933
735 459 -893
836 740 -70
319 383 -333
763 242 485
616 306 311
346 816 738
638 123 230
365 820 992
730 496 404
346 293 2
416 287 975
856 742 674
876 368 957
212 14 -996
565 841 -735
579 155 -685
353 806 317
477 849 629
564 704 -31
102 499 226
165 320 279
742 870 -312
254 302 -186
127 160 966
573 206 843
9 333 -316
206 539 -446
28 438 495
261 769 920
480 26 -75
409 519 -72
237 435 -935
93 269 808
139 587 797
216 107 57
628 592 -665
759 606 -277
714 715 -229
417 589 727
649 458 -709
841 458 -106
281 485 794
471 255 871
853 323 696
301 545 -140
54 748 805
185 7 -673
169 500 -619
826 752 -551
248 470 709
567 844 985
267 732 -12
339 195 -698
96 656 674
543 842 626
828 183 0
300 318 905
814 442 -596
72 865 -510
78 267 -639
474 287 -1000
314 483 107
348 344 598
414 429 152
663 174 -147
712 535 576
558 468 -364
453 479 825
367 135 -691
85 137 -178
205 630 734
483 799 -759
572 508 340
101 744 -265
152 153 918
723 100 65
402 668 -227
111 454 -815
742 204 575
595 470 806
757 250 -453
645 382 -554
267 393 276
292 356 697
858 520 -887
126 29 -907
481 383 -287
410 21 357
220 565 -213
729 133 733
591 518 -403
312 649 -498
174 636 -899
126 721 -343
444 41 -16
262 576 835
476 544 288
831 153 -241
258 751 -705
614 622 509
763 232 -807
199 541 117
152 24 175
34 234 944
52 624 405
278 193 478
754 753 236
309 333 560
598 698 808
780 414 959
782 10 472
457 444 -392
344 450 -564
727 116 -132
396 3 357
74 665 135
40 358 -161
869 740 -12
595 770 155
870 102 -164
486 31 241
838 621 -279
580 625 -398
681 734 8
718 357 527
447 380 488
28 240 469
677 678 -619
487 350 -175
314 525 0
765 464 264
560 245 -438
139 138 -395
315 193 697
783 122 -294
26 3 1000
738 96 290
203 142 446
583 386 983
839 634 529
289 499 658
197 755 -635
23 675 558
506 143 -306
465 395 -142
656 202 -902
145 426 -54
404 532 -280
187 177 -701
391 742 -970
869 583 972
504 530 -71
83 832 329
757 745 -253
567 237 550
544 639 60
496 294 -740
18 463 256
877 288 981
780 152 207
204 333 -908
201 93 540
450 460 -98
675 705 -263
389 654 565
725 547 -648
195 744 330
368 150 781
49 478 -177
411 287 -91
472 436 -128
708 29 329
823 839 134
271 582 612
573 454 -22
110 500 -903
146 546 -438
733 756 896
232 306 937
239 322 -519
428 334 906
878 743 -429
392 234 389
59 184 675
400 303 -292
212 441 317
872 792 389
335 47 80
399 516 126
374 745 -762
854 701 -727
810 10 278
501 598 -76
482 685 -167
871 828 -369
640 532 -619
754 227 996
103 256 -280
877 565 702
294 81 -813
782 230 -732
284 873 935
316 33 866
485 294 -784
316 691 -63
647 638 103
142 683 -116
402 771 -244
236 812 261
769 451 -167
773 227 432
116 864 701
432 289 848
369 779 112
413 784 -205
653 579 448
590 512 790
274 633 138
232 305 -311
278 45 -311
686 685 519
312 528 579
296 163 -719
508 759 901
623 771 -877
672 679 -957
745 254 936
446 784 -134
451 607 -240
265 239 912
93 716 859
21 530 -630
316 824 -826
825 319 -360
454 74 -601
26 516 505
880 36 -471
178 438 46
495 77 -120
514 391 -444
497 728 235
284 71 599
334 44 518
845 691 -239
28 133 227
647 470 -517
252 101 -160
722 289 289
814 783 -6
288 473 381
790 584 606
168 361 -572
109 153 -828
675 412 938
827 679 143
270 264 686
221 535 724
388 805 -881
510 27 -781
211 770 -989
393 384 -566
836 64 348
403 751 -272
717 678 454
188 418 801
281 687 634
411 654 879
288 466 -675
322 633 653
138 511 -307
608 83 411
142 762 -817
183 844 957
140 571 -147
373 517 392
8 216 -617
172 652 -440
612 765 -983
355 789 -106
184 151 868
180 104 578
520 660 -820
685 431 638
358 337 163
785 877 -97
310 453 -749
315 123 -347
596 839 297
770 766 -202
665 67 961
716 312 -74
380 656 983
689 154 -367
716 612 -23
815 564 -776
399 163 -230
166 600 -540
785 777 -872
378 94 593
137 396 92
612 551 322
598 67 495
26 560 -736
601 779 870
805 802 -759
194 352 732
90 523 -198
736 853 -232
211 435 -982
348 400 571
798 258 -255
854 540 304
229 629 807
715 268 -692
230 434 108
214 335 760
415 436 355
768 466 -893
800 358 965
508 404 -228
579 545 -566
228 134 -826
633 817 -243
32 728 461
130 111 -813
280 418 -416
484 453 822
486 659 156
51 727 242
650 522 37
515 142 388
294 26 750
629 591 913
172 63 -753
